artist,albums,tracks,bytes,in_active,active_tracks
Various Artists,580,1005,3962060059,yes,190
Susanna Clarke,5,608,2214040573,no,0
Akira Yamaoka,10,487,1005694898,no,0
Agoraphobic Nosebleed,7,353,1693397590,no,0
Books on Tape,3,183,758551741,no,0
Soundtracks,14,169,939809019,no,0
Wolfgang Amadeus Mozart,4,167,580186855,no,0
"Jesse Welles, Welles World",2,88,245347980,no,0
Trent Reznor & Atticus Ross,1,87,250088204,no,0
Various,1,84,245721838,no,0
White Zombie,1,63,259264177,no,0
Sigmund Snopek III,1,48,122752176,no,0
"Elvis Presley, Carl Perkins, Jerry Lee Lewis, Johnny Cash",1,46,56952798,no,0
"DJ Vlad, Mac Dre",1,45,56317373,no,0
The Red Krayola,1,44,32833054,no,0
"All, Descendents",1,43,86054861,no,0
Boobs of DOOM Presents,1,2,88388887,no,0
"Andrew Lloyd Webber, Cast Of _The Phantom Of The Opera_ Motion Picture",1,1,1890172,no,0
August Rush (Motion Picture Soundtrack),1,1,4263021,no,0
Boobs of DOOM Presents_,1,1,61877431,no,0
Motion City Soundtrack,1,1,3203161,no,0
NEON GENESIS EVANGELION (OST),1,1,3813140,no,0
Original Motion Picture Soundtrack,1,1,3841027,no,0
Original SOUNDTRACK,1,1,2805999,no,0
The Princess Bride Soundtrack_Mark Knopfler,1,1,4139398,no,0
Twin Peaks (Limited Event Series Soundtrack),1,1,5380570,no,0
Twister Soundtrack,1,1,4197013,no,0
"Various Artists, Jermaine Dupri",1,1,5373293,no,0
