artist,albums,tracks,bytes,in_active,active_tracks
$not,2,2,3156108,no,0
$ubjectz,2,2,4095443,no,0
'Til Tuesday,2,2,8138555,no,0
1.8.7. Deathstep,2,2,8211025,no,0
10 Years,2,2,6899155,no,0
"10 Years, Conquer Divide",1,2,5531471,no,0
2 Bad Mice,2,2,10310670,no,0
2Pac,2,2,9415074,no,0
"2WEI, Bri Bryant",2,2,6015217,no,0
36 Questions,2,2,9281628,no,0
4 Non Blondes,1,2,7731586,no,0
8 Graves,1,2,6870169,no,0
8485,2,2,4291117,no,0
A Forest Of Stars,2,2,15121971,no,0
"A Sides, Nut E-1",1,2,12481963,no,0
A.R. The Mermaid,2,2,3566504,no,0
"ALG0, DJ RASP, Dweller",1,2,11210949,no,0
ASHE 22,1,2,4269393,no,0
ATLUS Sound Team,1,2,5598690,no,0
Abney Park,2,2,6708522,no,0
"Absu, Zigi SC, WallHack",1,2,7668990,no,0
Ac Dc,2,2,7206647,no,0
Adam Jensen,2,2,6050483,no,0
Adam Lambert,1,2,6810950,no,0
Adam Melchor,2,2,6735306,no,0
Addison Grace,2,2,6263676,no,0
"Adrian Chandler, La Serenissima, Peter Whelan",1,2,5863917,no,0
Against the Current,2,2,6601302,no,0
Agent 99,1,2,3350219,no,0
Aghora,1,2,6507122,no,0
Aging,2,2,9950016,no,0
Agriculture,2,2,11322925,no,0
Aim To Head,2,2,6145519,yes,1
"Akasha, Effortless, Murmur",2,2,3670301,no,0
"Akasha, Murmur, Natsu",2,2,3541564,no,0
Alabama 3,2,2,8056212,no,0
"Alcemist, Coco",2,2,7171538,no,0
Alessia Cara,1,2,6807139,no,0
Alfredo Evans,2,2,6396667,no,0
Alisa Amador,2,2,5246882,no,0
Alison Wonderland,2,2,7369723,no,0
Alk-e-d,1,2,10248897,no,0
Alkaloid,2,2,10399429,no,0
All Saints,2,2,8789516,no,0
Allegaeon,1,2,9221824,no,0
Aloe Blacc,2,2,7234588,no,0
"Amandla Stenberg, SZA",1,2,8350849,no,0
American Authors,2,2,6484600,no,0
Ananta,1,2,9787527,no,0
Anarbor,1,2,4897827,no,0
Anarchicks,2,2,7694944,no,0
Anberlin,2,2,6200417,no,0
"AndrewA, Akira Yamaoka",2,2,4174067,no,0
Andromida,2,2,7573703,no,0
Andy Black,2,2,6175051,no,0
Angel Vivaldi,2,2,9170371,no,0
Angelic Milk,2,2,6500342,no,0
Annapantsu,2,2,5156421,no,0
Anne-Marie,2,2,5901807,no,0
"Annix, A Little Sound",2,2,7392986,no,0
Anson Seabra,2,2,6578537,no,0
Anxiid,2,2,6027940,no,0
Aqua,2,2,6158364,no,0
"Aran, Kobaryo",2,2,6140909,no,0
Arca,2,2,5799080,no,0
Arcadi Volodos,2,2,9135013,no,0
Archaic Earth,1,2,11221670,no,0
"Arctic Moon, Truewave",2,2,6099191,no,0
Arcángel,2,2,7869987,no,0
Area 39,1,2,9898917,no,0
"Armin van Buuren, Bon Jovi",1,2,9787829,no,0
Arre! Arre!,1,2,5557068,no,0
Arrested Youth,2,2,6106889,no,0
Arthur Rubinstein,2,2,11526982,no,0
Aryia,2,2,7002725,no,0
As I Lay Dying,2,2,8069742,no,0
Ash Ra Tempel + Timothy Leary,1,2,41472442,no,0
Ashley Jana,1,2,6668592,no,0
Ashley Tisdale,2,2,5741025,no,0
Ashlie Amber,2,2,5590418,no,0
Ashtin Larold,2,2,3096021,no,0
Assassin's Creed,1,2,3490007,no,0
Attack Attack!,2,2,6818416,no,0
August Ponthier,2,2,6299904,no,0
Aunty Donna,1,2,3298952,no,0
Autoclave,1,2,5780771,no,0
Avatar,2,2,9194654,no,0
Aviina,2,2,6036411,no,0
Awesome 3,1,2,9039234,no,0
"Axwell __ Ingrosso, Axwell, Sebastian Ingrosso",1,2,8123960,no,0
BARAKA,1,2,9798758,no,0
BATME,2,2,5911280,no,0
BLACKMAYO,2,2,4041629,no,0
BLACKPINK,2,2,6471254,no,0
BLCKK,2,2,3407131,no,0
"BLooM, Seventh Wonder",2,2,11187731,no,0
BOAN,1,2,8478466,no,0
BONES UK,1,2,6257234,no,0
BOYE,1,2,5278124,no,0
BOYS LIKE GIRLS,2,2,6782034,no,0
BRAT,1,2,4279962,yes,18
BROCKHAMPTON,2,2,6857951,no,0
Baby Bash,2,2,7320055,no,0
BabyCorpse,2,2,3659312,no,0
Backstreet Boys,2,2,7921389,no,0
Badflower,2,2,7762962,no,0
Banshee,2,2,3872504,no,0
Barbara Dane,1,2,6925062,no,0
Basement Freaks,2,2,9600384,no,0
Basstyler,2,2,8367062,no,0
Basswell,2,2,9168853,no,0
Baywood,2,2,6624542,no,0
Becky Hill,2,2,6924690,no,0
Beenie Man,1,2,7419607,no,0
Before the Dawn,2,2,7635750,no,0
Bejo,2,2,8212737,no,0
Bell Biv DeVoe,2,2,7272032,no,0
Ben Harper,2,2,7917096,no,0
Ben Platt,1,2,7100718,no,0
Benjamin Grosvenor,2,2,8504288,no,0
Benny Benassi,2,2,9017043,no,0
Beth McCarthy,2,2,6198882,no,0
Bicep,2,2,8945947,no,0
Big Brother & the Holding Company,1,2,8733084,no,0
Big Star,2,2,5114579,no,0
Big Time Rush,1,2,6215413,no,0
Bill Walton,2,2,8709477,no,0
Billy Bragg,2,2,5858021,no,0
Billy Talent,2,2,7307818,no,0
"Billy _Daniel_ Bunter, J.D.S_",2,2,8770298,no,0
Bingo Players,2,2,5160747,no,0
Biz Markie,2,2,8053678,no,0
"Bl'ast!, Eyehategod",1,2,6896408,no,0
Black Light Discipline,2,2,7347369,no,0
Black Math,2,2,7034680,no,0
Black Tiger Sex Machine,2,2,6069776,no,0
Blackbird Raum,1,2,9116184,no,0
Blake Shelton,2,2,6024680,no,0
Blame,2,2,8862547,no,0
"Blaue Blume, Trentemøller",1,2,9529375,no,0
BlckHry,1,2,8391080,no,0
Blind Melon,2,2,7190368,no,0
Blue King Brown,1,2,8270153,no,0
Blue Magic,1,2,8484628,no,0
Bnny,2,2,4558926,no,0
Bo-peep,1,2,7267784,no,0
Bob Marley And The Wailers,2,2,7050958,no,0
Bob Rivers & Twisted Radio,1,2,5229767,no,0
"Bob Vylan, Young Magic",1,2,5254578,no,0
Bobby Brown,2,2,8075847,no,0
Bobby Darin,2,2,5952153,no,0
Bombo Rosa,2,2,7732764,no,0
Bootsy Collins,2,2,10045253,no,0
"Boozoo Bajou, Fursattl",1,2,9511609,no,0
"Boozoo Bajou, Jules",1,2,7951971,no,0
"Borgore, BeNda",2,2,5281992,no,0
Boston,2,2,8916516,no,0
"Bou, Haribo",1,2,7622787,no,0
Brains Outward & Peeling Flesh,1,2,5315797,no,0
"Bratkilla, C-Netik",1,2,12853764,no,0
Break,2,2,7985199,no,0
Bree Runway,1,2,5351866,no,0
Brick + Mortar,2,2,6796760,no,0
Brigitte Engerer,1,2,10931748,no,0
Bring Me the Horizon,2,2,6699931,no,0
Britti,2,2,6234886,no,0
Bronski Beat,1,2,13612592,no,0
Bronx7,2,2,3765664,no,0
Bronze Avery,2,2,4090492,no,0
"Brothel, Forerunner",1,2,6810415,no,0
"Brothel, Sidewalks and Skeletons, Clepsydra",1,2,8435483,no,0
"Brothel, dryve",2,2,7791863,no,0
Bruhmanegod,2,2,4868249,no,0
Bruno Major,1,2,5932959,no,0
Brutal Mary,1,2,4800900,no,0
Bryant Myers,2,2,8442040,no,0
Bryce Alakai,2,2,5426870,no,0
Brye,2,2,5661323,no,0
Buddy Holly,2,2,3666927,no,0
Buffalo Springfield,2,2,5414867,no,0
Butthole Surfers,2,2,7775653,no,0
BØRNS,1,2,7473095,no,0
"CARLOS, The Bandidos",2,2,4064649,no,0
"CLIQUES., R.A. The Rugged Man",1,2,9395545,no,0
COUCOU CHLOE,1,2,4252445,no,0
Cabaret Nocturne,2,2,12261008,no,0
Cabaret Voltaire,2,2,6380226,no,0
Cage the Elephant,2,2,6696391,no,0
Caifanes,2,2,8623083,no,0
Cali Cartier,1,2,2977169,no,0
Calpurnia,2,2,7313428,no,0
"Cam Wallace, Wiz Khalifa",2,2,4933938,no,0
"Camellia, Nhato",1,2,9603646,no,0
Camila Cabello,2,2,5908815,no,0
Camo & Krooked,2,2,7789423,no,0
Candy,1,2,3220686,no,0
Captain Bass,2,2,5381573,no,0
Capture The Crown,1,2,6971902,no,0
Car Seat Headrest,2,2,9061698,no,0
Caramella Girls,2,2,5440453,no,0
Carbon X,2,2,4383919,no,0
Cardi B,2,2,6193761,no,0
Carlie Hanson,2,2,6033531,no,0
Carter Vail,2,2,6002887,no,0
Carv,2,2,12337788,no,0
Cash Cash,2,2,7154377,no,0
Cast - Phineas and Ferb,1,2,2492856,no,0
Cavetown + chloe moriondo,1,2,8774951,no,0
Cavy,2,2,6687147,no,0
Cedric Brazle,2,2,5629317,no,0
Celtic Woman,2,2,7942065,no,0
Cerebral Ballzy,2,2,2086939,no,0
Cetu Javu,2,2,7570041,no,0
Chance the Rapper,1,2,7485461,no,0
"Charli xcx, Sam Smith",2,2,6062249,no,0
Charlie Houston,1,2,5833705,no,0
Cheap Trick,2,2,8135737,no,0
"Chester Fields, Laur",1,2,9410602,no,0
Chloe Parché,2,2,7332747,no,0
Chri$tian Gate$,2,2,4162442,no,0
Chris Letchford,1,2,8193912,no,0
Chris Patrick,2,2,4366893,no,0
Chrissy Chlapecka,2,2,5633064,no,0
Cipó Fogo,1,2,5568946,no,0
Claire Rosinkranz,2,2,5381678,no,0
Clarence Carter,2,2,6453063,no,0
Clarence Clarity,1,2,7067942,no,0
Claud,2,2,6016539,no,0
Clawerfield,1,2,9082982,no,0
Cliff Richard,2,2,6961924,no,0
Clones Of Sirius,1,2,7559357,no,0
Cloud Rat,1,2,3067467,no,0
Cmten,2,2,3863837,no,0
Cobrah,2,2,4897910,no,0
Coin,2,2,5776520,no,0
Coldplay & Rihanna,1,2,7214274,no,0
Colleen Green,1,2,6317411,no,0
Colter Wall,1,2,5966705,no,0
Compagnie Jolie Môme,2,2,10584181,no,0
"Computer Magic, Danz CM",2,2,5913922,no,0
ConcernedApe,1,2,4125379,no,0
Connie,1,2,8766483,no,0
Conor Maynard,2,2,5930049,no,0
Coping Method,2,2,7282042,no,0
Corpse Thrower,2,2,6425997,no,0
Corrigan Fest,1,2,9011362,no,0
Corum,1,2,40003472,no,0
Creeping Devil Cactus,2,2,11862370,no,0
Crockett,1,2,8744118,no,0
Crown The Empire,2,2,7935588,no,0
Crywolf,2,2,7303842,no,0
Cut Chemist,1,2,8097987,no,0
Cut Wide Open,2,2,10025944,no,0
Cutty Ranks VS Poison Chang,1,2,7915448,no,0
CyYu,2,2,3538243,no,0
Cyndustry,1,2,7685668,no,0
D Train,2,2,11126804,no,0
DC Breaks,2,2,7668223,no,0
"DESTROY BORING, Belis",2,2,4138907,no,0
DJ Crystl,1,2,12192180,no,0
DJ Dara,1,2,8728308,no,0
DJ Limited,1,2,7647501,no,0
DJ Luna-C,1,2,10905484,no,0
"DJ Myosuke, kaji",2,2,6556047,no,0
DJ TEMPA,1,2,8605982,no,0
DUMB FUCKS,1,2,3582587,no,0
DWLLRS,2,2,6075444,no,0
Daedric,2,2,7520465,no,0
Daft Punk feat. Pharrell Williams,1,2,8305295,no,0
Damien Quinn & Stir Crazy,2,2,5515815,no,0
Dan + Shay,2,2,6327689,no,0
Danny Denial,2,2,5454247,no,0
Danny Elfman,2,2,9850300,no,0
Danny Gonzalez,2,2,4774414,no,0
Dark Funeral,2,2,8667118,no,0
"Dark Half, Damien Quinn, Geno Cultshit",1,2,7545703,no,0
Darkspace,1,2,13487981,no,0
"Darude, Audioventura, JVMIE",1,2,9547246,no,0
DatTrak,1,2,5926666,no,0
Daughtry,2,2,7553373,no,0
David Hugo,2,2,5946320,no,0
Dawn Wall,2,2,8457241,no,0
DeBarge,1,2,9932628,no,0
Dead Boys,2,2,7071474,no,0
Dead Man's Chest,2,2,9620318,no,0
Deadcrow,2,2,9619308,no,0
Death's Head Moth,2,2,3391156,no,0
DeathbyRomy,2,2,5770929,no,0
Declan McKenna,1,2,7256863,no,0
Deee-Lite,2,2,7345302,no,0
Def Leppard,2,2,7958013,no,0
Deja Blu,2,2,9797429,no,0
Delta 5,1,2,5021187,no,0
Denis Kozhukhin,2,2,3884828,no,0
Dennis McCarthy,2,2,3174204,no,0
Dermot Kennedy,2,2,6802422,no,0
Des Rocs,2,2,5802429,no,0
Desired State,1,2,10490834,no,0
Desiree Cannon,2,2,5588047,no,0
Deuce,1,2,7621103,no,0
"Deus Ex Lumina, Antipole",2,2,6387660,no,0
Dev Lemons,2,2,4726622,no,0
Devil's Ivy,1,2,5677520,no,0
Dexxtrous & Sudden Def,1,2,10521941,no,0
DiVine,2,2,6219370,no,0
Diana Ross,2,2,8711521,no,0
Digital,1,2,10432769,no,0
Dimitri From Paris,1,2,20742980,no,0
"Dimitri Vegas, Like Mike",2,2,5365847,no,0
Dirty Sanchez,2,2,9368342,no,0
Discharge,2,2,7814801,no,0
Disperse,1,2,7423272,no,0
"Disrupta, Kathika",1,2,8468054,no,0
"Disrupta, MC Spyda",1,2,6415606,no,0
Dita Redrum,2,2,7667922,no,0
Divinity Roxx,2,2,5411800,no,0
Dj Guv,2,2,8381151,no,0
Dj Looney Uk,1,2,7591259,no,0
