artist,albums,tracks,bytes,in_active,active_tracks
CORNELIUS,0,0,0,no,0
Coheed And Cambria,0,0,0,no,0
Eminem feat. 2 Chainz & PHRESHER,0,0,0,no,0
Eminem feat. Beyoncé,0,0,0,no,0
Eminem feat. Ca$his,0,0,0,no,0
Eminem feat. Kehlani,0,0,0,no,0
Eminem feat. Rihanna,0,0,0,no,0
Eminem feat. Sia,0,0,0,no,0
"Eminem, Big Sean & BabyTron",0,0,0,no,0
"Eminem, Royce da 5′9″, Big Sean, Danny Brown, DeJ Loaf & Trick‐Trick",0,0,0,no,0
"Juice WRLD, Eminem & benny blanco",0,0,0,no,0
Live,27,0,0,no,0
Outcast,0,0,0,no,0
TOOL,0,0,0,yes,69
TOTO,0,0,0,no,0
