artist,albums,tracks,bytes,in_active,active_tracks
Johnny Cash,210,3046,12180978770,no,0
Queen,85,1460,5278577978,no,0
Insane Clown Posse,84,1031,3794481673,no,0
Leadbelly,42,905,1881174897,no,0
Lynyrd Skynyrd,70,805,5838508541,no,0
Ramones,31,790,2935374135,no,0
Buckethead,91,783,4880144365,yes,767
Kottonmouth Kings,57,782,2815139915,no,0
Eminem,64,757,3597331896,no,0
Ghostemane,43,681,1699709063,no,0
The Fall,34,668,5261505605,no,0
Megadeth,48,641,2636905411,no,0
Sepultura,44,637,3598889196,no,0
Dolly Parton,51,608,3825316870,no,0
Lady Gaga,86,600,2835035637,no,0
8-Bit Misfits,67,595,2509206982,no,0
Dead Can Dance,35,578,3286556570,no,0
The Rolling Stones,54,573,3192514576,no,0
Wiz Khalifa,91,568,1866707604,no,0
They Might Be Giants,36,562,1739382737,no,0
KMFDM,49,540,4610571919,no,0
Bon Jovi,63,537,2339190432,no,0
Dennis Brown,56,524,3690431074,no,0
The Exploited,27,518,1247347455,no,0
Tech N9ne,25,517,3437796793,no,0
The Kinks,38,512,2605542804,no,0
Killah Priest,52,497,1492555958,no,0
Rob Zombie,35,494,1746281761,yes,115
Black Sabbath,33,487,3133266000,yes,462
Ministry,54,483,2400534047,yes,508
Cypress Hill,50,482,1543018389,no,0
The Who,24,477,2941338866,no,0
Woody Guthrie,15,475,1331202793,no,0
Aretha Franklin,36,471,3610449267,no,0
Linkin Park,35,468,1894427354,no,0
The Beach Boys,43,460,2186452293,no,0
Nightwish,41,448,3457981811,no,0
Bathory,31,445,2241116225,no,0
Talking Heads,38,444,2023673343,no,0
The Roots,36,439,1605919126,no,0
Velvet Acid Christ,34,434,2453374386,no,0
Enter Shikari,69,432,1688112682,no,0
Jefferson Airplane,27,431,1777476578,no,0
Sodom,32,429,2618712583,no,0
Beastie Boys,42,426,1310720207,no,0
Chicago,27,426,3407283212,no,0
Röyksopp,102,425,2284316763,no,0
Cradle Of Filth,35,417,2415268858,no,0
Overkill,36,412,1916639198,no,0
Venom,26,411,1421189815,no,0
Soulfly,28,409,2092125283,no,0
The Mountain Goats,46,406,2359716598,no,0
War,44,398,2216354451,no,0
Imagine Dragons,54,393,1346653164,no,0
Crass,28,391,1726256054,no,0
Melvins,33,391,2406159623,no,0
Green Day,28,385,1256996167,yes,309
Creedence Clearwater Revival,31,378,1249091527,no,0
David Bowie,40,374,2343426447,no,0
Pink Floyd,29,372,2839870910,no,0
Red Hot Chili Peppers,45,370,2527773555,no,0
Fugazi,21,369,1069824667,yes,11
Leonard Cohen,31,364,1632790809,no,0
King Gizzard & The Lizard Wizard,42,361,1856898930,no,0
Lordi,31,355,1538159970,no,0
Three 6 Mafia,20,350,2010555015,no,0
Minutemen,15,347,528644990,no,0
Dropkick Murphys,32,345,1018725191,no,0
Onyx,51,345,1120144853,no,0
The B-52's,30,341,1490897435,no,0
Bring Me The Horizon,52,340,1354630899,no,0
The Charlie Daniels Band,33,339,2781224622,no,0
Outkast,25,337,1149377471,no,0
The Offspring,37,337,1322184586,no,0
ODESZA,51,332,1241386893,no,0
Nine Inch Nails,23,327,2026073594,no,0
Shinedown,49,325,1835621026,no,0
Bart Graft,29,323,2305937417,no,0
Combichrist,34,323,1871042571,yes,1
UNKLE,64,321,1574375267,no,0
Hüsker Dü,21,319,842261528,no,0
Slipknot,36,319,1473534830,yes,320
RJD2,38,315,1055276888,no,0
Bad Religion,26,314,1163311963,no,0
Misfits,20,311,779443369,no,0
Anal Cunt,11,308,331989310,no,0
Faith No More,27,302,1150295613,no,0
GWAR,24,302,1170083770,no,0
Skinny Puppy,35,301,2432852899,no,0
Grateful Dead,17,300,2712797536,no,0
The Beatles,35,297,890864657,no,0
Charli xcx,76,296,922930643,no,0
Six Feet Under,26,296,1301962858,no,0
The Flashbulb,24,296,1147665499,no,0
Jesse Welles,25,295,848908396,no,0
Sublime,17,294,1061673621,yes,137
Emmylou Harris,25,293,2047537707,no,0
Blind Guardian,28,292,1717861694,yes,224
Richard Cheese,19,290,1096446070,no,0
Rancid,16,289,907799041,yes,21
blink‐182,32,289,947750528,no,0
Trentemøller,56,288,1600978957,no,0
Annihilator,30,287,1285720769,no,0
Halestorm,52,282,1324364647,no,0
Janis Joplin,15,279,1654283850,no,0
Nirvana,19,278,1449727826,yes,22
Vader,34,277,944597880,no,0
Aphex Twin,33,275,1268667753,yes,3
Britney Spears,27,275,2188951407,yes,231
Deep Purple,25,272,2401767819,no,0
Depeche Mode,21,270,2266294722,yes,23
Liam Lynch,20,270,1450395431,no,0
The Smashing Pumpkins,17,270,1541120561,no,0
Coil,34,269,1673514529,no,0
Geto Boys,18,269,1054287938,yes,14
Prong,23,269,1014346986,no,0
Primus,26,268,1301288799,no,0
Barenaked Ladies,16,266,1829718072,no,0
EKTOMORF,36,265,863323963,no,0
Hollywood Undead,43,262,1078660782,yes,191
Exhumed,25,261,752516702,no,0
Napalm Death,21,261,1130178640,no,0
Agnostic Front,21,260,472558917,no,0
Bad Brains,21,260,921509581,no,0
Ludacris,31,259,947775070,no,0
Poison Idea,16,258,606987323,no,0
The Killers,35,258,1687865816,no,0
DEATH ANGEL,20,257,1198329499,no,0
The Prodigy,40,255,1570965555,no,0
Killer Mike,30,253,1265371174,no,0
Jimi Hendrix,30,252,1835132024,no,0
Limp Bizkit,23,252,1006749270,no,0
Electric Callboy,43,247,804886205,no,0
Thievery Corporation,22,246,872073458,no,0
Chumbawamba,18,244,1386034711,no,0
Anti-Flag,42,243,667206288,no,0
Laur,118,243,816204232,no,0
Bonobo,42,242,1068383004,yes,182
Slayer,22,242,1209989353,yes,297
Funker Vogt,14,241,1442743354,no,0
Marilyn Manson,28,240,1160334632,yes,100
Neko Case,14,237,706500696,no,0
Testament,30,235,994301067,no,0
The Moody Blues,18,232,1766276677,no,0
Negativland,16,231,1482933484,no,0
Post Malone,27,231,962540874,no,0
Korn,26,230,1540393217,yes,31
Cannibal Corpse,24,227,1265080605,yes,78
Rush,21,227,1860412698,no,0
Metallica,26,225,1850731592,yes,57
Dwight Yoakam,18,224,1446789010,no,0
Glass Animals,32,224,740824670,no,0
Strong Bad,9,223,297301597,no,0
Boobs of DOOM,32,218,1920019775,yes,203
Led Zeppelin,22,218,1688077337,no,0
Arch Enemy,23,217,1520565771,no,0
Psychostick,29,216,810531156,no,0
Dead Kennedys,14,215,651999365,no,0
Rodney Crowell,20,215,1678815101,no,0
Black Label Society,18,214,1029565492,no,0
Gogol Bordello,32,212,862956267,no,0
Primordial,30,212,1274294577,no,0
Alkaline Trio,23,211,697085590,no,0
Suicidal Tendencies,20,210,747901915,no,0
Corrosion of Conformity,19,209,728535533,no,0
Mike Oldfield,15,206,2447382357,no,0
Black Flag,23,205,802423924,no,0
Apashe,47,204,689110971,no,0
Borgore,62,204,705160120,yes,153
Dio,24,204,847678653,no,0
Fishbone,22,204,876560875,no,0
NOFX,15,202,616230600,no,0
The Cure,24,202,851704710,no,0
VNV Nation,21,202,1652017844,no,0
My Chemical Romance,32,201,1063459115,no,0
The White Stripes,27,201,991374793,yes,16
Type O Negative,10,201,1980481390,no,0
Gorillaz,18,200,1015553428,no,0
Soilwork,24,200,1241644499,no,0
Boozoo Bajou,45,197,939092833,no,0
Rollins Band,15,197,1416934307,no,0
Bad Bunny,44,194,667416605,no,0
Sloan,14,194,1008502766,no,0
The Notorious B.I.G_,13,193,728939150,no,0
Kanye West,11,192,1379185629,no,0
Killswitch Engage,36,191,656405707,no,0
"Lofi Fruits Music, Chill Fruits Music",24,191,352520605,no,0
Taylor Swift,29,191,751096110,no,0
M.D.C_,10,188,357031942,no,0
Sigh,26,188,825242542,no,0
Doja Cat,36,187,583732949,yes,120
Entombed,21,187,687179589,no,0
Puscifer,25,187,1338704338,no,0
Machine Head,26,186,869165141,no,0
Goldfinger,26,185,502688808,no,0
Subhumans,15,185,694112957,no,0
Figure,18,184,1358751379,no,0
:wumpscut:,12,183,1273464307,no,0
Circle Jerks,16,182,530308662,no,0
John Cale,16,182,1562632737,no,0
Craig Duncan,13,179,1322758125,no,0
Static‐X,26,179,755661852,no,0
Biohazard,30,178,565918811,no,0
Fear Factory,16,178,1439571170,yes,141
Eat Static,16,177,2440147328,no,0
Journey,16,177,1503585121,no,0
New Found Glory,15,177,1077115488,no,0
Exodus,18,176,880534549,no,0
Infected Mushroom,16,175,1751640406,no,0
King Missile,10,175,789334706,yes,29
Iron Maiden,21,174,1594372153,yes,285
Ozzy Osbourne,16,174,934258968,no,0
Chief Keef,12,172,1208939431,no,0
Papa Roach,18,172,1097881266,yes,1
Steve Miller Band,21,171,1134995304,no,0
Assemblage 23,11,170,1181939604,no,0
Hozier,29,170,630029673,no,0
Rabbit Junk,46,170,1048913431,no,0
Darude,25,169,890528933,no,0
Deicide,12,169,745793753,no,0
Placebo,16,169,681213554,no,0
Pennywise,12,168,537944862,no,0
The Jerky Boys,6,168,464796645,no,0
mc chris,12,168,731700810,yes,80
Guilt Trip,34,166,552188566,no,0
Anthrax,13,165,1107127465,yes,15
Stone Temple Pilots,16,163,1161177669,no,0
Vulvodynia,26,163,622463623,no,0
ABBA,11,162,1010104599,no,0
Descendents,14,161,314346900,no,0
Lords of Acid,12,161,889146253,no,0
Tourist,57,161,712275919,no,0
XXXTENTACION,13,161,689145674,no,0
Celtic Frost,16,160,583327777,no,0
King Crimson,18,160,1872136701,no,0
Radiohead,16,160,2064455759,no,0
Voodoo Glow Skulls,12,160,403529951,no,0
All Time Low,16,159,998143632,no,0
Prof,28,159,510494443,yes,99
“Weird Al” Yankovic,15,159,1120635537,no,0
Filth,51,158,554624697,no,0
Danzig,14,156,897803617,no,0
Foo Fighters,15,155,1217414594,no,0
Jonathan Richman,13,154,878043151,no,0
Nashville Pussy,14,154,479804358,no,0
Lang Lang,8,153,1221370917,no,0
Zombie Nation,32,153,1079552442,no,0
Today Is the Day,10,152,1082177219,no,0
Wormrot,16,152,312088008,no,0
Denzel Curry,13,150,937188924,no,0
Kris Goldek,139,150,496810071,no,0
Obituary,14,150,670359818,no,0
Coheed and Cambria,12,148,1243178342,no,0
Fu Manchu,13,148,771518673,no,0
Me First And The Gimme Gimmes,18,148,348959515,no,0
Toto,14,148,1362565335,no,0
Alphaxone,17,146,1687770192,no,0
The Browning,20,145,516124780,no,0
The Selecter,16,145,1079949030,no,0
Aborted,17,144,736155402,no,0
Amon Amarth,20,144,1348203407,no,0
Korpiklaani,9,144,563857709,no,0
Marduk,16,144,698197777,no,0
Perturbator,22,144,693493341,no,0
Skindred,24,144,464151003,no,0
Gang Green,9,143,346997330,no,0
Lotus,13,143,1354731591,no,0
Alanis Morissette,10,142,1277052881,no,0
Crowbar,13,142,1007637417,no,0
Robert Hood,14,142,1564436149,no,0
Skunk Anansie,10,142,526974040,no,0
Alice in Chains,14,141,650290913,no,0
Tim Hecker,13,140,1135634628,no,0
Alestorm,25,139,753839455,no,0
Mother Mother,12,139,857848974,no,0
Pogo,17,139,870490703,no,0
Suicide Silence,18,138,428685981,no,0
Howard Jones,14,137,1326825141,no,0
Powerman 5000,12,137,823342566,no,0
Anti‐Flag,29,136,369084927,no,0
Muse,12,136,760434235,no,0
S.O.D. Stormtroopers of Death,6,136,268666867,no,0
Bill Hicks,5,135,370876001,no,0
Eyehategod,19,135,486762760,no,0
Leprous,26,135,1157111623,no,0
Bella Morte,12,134,666800486,no,0
Cattle Decapitation,14,133,498652356,no,0
Hatebreed,9,132,670013774,yes,90
Lamb of God,10,132,605151627,no,0
Mission Of Burma,16,132,397782125,no,0
Pilotpriest,16,132,654453229,no,0
Revocation,20,132,575931382,no,0
The National,10,132,944440363,no,0
Blackberry Smoke,11,131,520718080,no,0
Blaze Ya Dead Homie,21,131,392562811,yes,119
Children of Bodom,13,131,785152529,no,0
KING 810,39,131,488300227,no,0
Meshuggah,12,131,987661917,yes,9
Nile,14,131,1090976673,no,0
Tears for Fears,11,131,655575497,no,0
Ho99o9,26,130,445704153,no,0
Madball,9,130,469873941,no,0
Manowar,12,130,1195199849,no,0
League of Legends,12,129,647264082,no,0
Professor Electric,17,129,476579231,no,0
Better Than Ezra,10,128,891202451,no,0
Counterfeit,38,128,448382591,no,0
Death Grips,15,128,1002973468,no,0
Flogging Molly,13,128,568177886,no,0
MAGNAVOLT,40,128,446283725,yes,4
MASTER BOOT RECORD,19,127,624419883,no,0
Queens Of The Stone Age,19,127,513626544,no,0
deadmau5,14,127,1878676986,no,0
Apocalyptica,11,126,946768904,no,0
Blondie,15,126,847785690,no,0
Body Count,16,126,760135334,no,0
RAMIREZ,10,126,649310499,no,0
Rubber O Cement,4,126,260707219,no,0
SZA,16,125,375361273,no,0
High on Fire,15,124,676894872,no,0
Mindless Self Indulgence,9,124,356467757,yes,171
DevilDriver,10,123,909545166,yes,141
Rise Against,10,123,745823893,no,0
Sinéad O’Connor,9,123,1016158398,no,0
ZEDD,37,123,781515361,no,0
Bolt Thrower,15,122,780925014,yes,120
Hopsin,42,122,447293169,no,0
Macy Gray,10,122,640703411,no,0
Disrupt,7,121,213088837,no,0
Otep,9,121,756545151,no,0
The Avalanches,12,121,390757698,no,0
Dj Noriken,37,120,493279836,no,0
Dead Prez,14,118,347176786,no,0
Duane Eddy,15,118,606386969,no,0
Leftöver Crack,9,117,330717006,no,0
Soundgarden,9,117,723597294,no,0
Tribulation,26,117,577636116,no,0
Qveen Herby,32,116,391512626,no,0
Escape the Fate,8,115,665068723,no,0
The Jimi Hendrix Experience,8,115,616187477,no,0
Daft Punk,9,114,726302622,no,0
Fleshgod Apocalypse,12,114,506080332,no,0
Chelsea Grin,26,113,406423591,no,0
Disturbed,10,113,972273481,no,0
Red Fang,23,113,382447206,no,0
Deftones,10,112,681298914,no,0
Lee “Scratch” Perry,15,111,472126495,no,0
Manufactura,8,111,1409959528,no,0
Sidewalks and Skeletons,24,110,636352704,no,0
The Suicide Machines,7,110,398125405,no,0
Matisyahu,9,109,921232704,no,0
The Black Dahlia Murder,10,109,761510349,no,0
DJ Myosuke,39,108,336201237,no,0
Dashboard Confessional,10,108,296124912,no,0
The Weeknd,11,108,755831900,no,0
Dweller,19,107,409180318,no,0
Kublai Khan TX,11,107,259846881,yes,11
Neil Hamburger,6,107,303002971,no,0
Bongzilla,18,106,637522479,yes,71
"Emerson, Lake & Palmer",11,106,746053676,yes,119
PeelingFlesh,16,106,251709696,no,0
Quintron,11,106,313091114,no,0
Steven Wilson,9,106,1287517545,no,0
Whitechapel,27,106,442958667,no,0
The Cars,7,105,724786349,no,0
Goatwhore,9,104,532891410,no,0
Godsmack,11,104,775056943,no,0
raza odiada,16,104,457534533,no,0
Immortal Technique,8,103,618172335,no,0
The Sisters of Mercy,14,103,595562846,no,0
Amon Tobin,9,102,986672112,no,0
At the Gates,8,102,490783304,no,0
Bloodhound Gang,6,102,297921366,yes,211
Usao,25,102,421477616,no,0
$uicideboy$,21,101,468586812,no,0
10cc,9,101,860118908,no,0
Dying Fetus,15,101,431871836,no,0
Issues,20,101,333409038,no,0
Metalocalypse_ Dethklok,7,101,319376552,no,0
Skrillex,9,101,515969035,yes,149
The Tower Recordings,9,101,340612602,no,0
Unleash The Archers,15,101,621962203,no,0
Gangsta Blac,6,100,562081507,no,0
A Tribe Called Quest,7,99,732819931,no,0
Apoptygma Berzerk,7,99,707641165,no,0
Cavalera Conspiracy,13,99,359823116,no,0
Chris Thile,8,98,858660769,no,0
Justin Townes Earle,8,98,664653234,no,0
Mastodon,8,98,856913368,no,0
Pantera,10,98,460010452,yes,61
Carnifex,9,97,509146732,no,0
Cult of Luna,11,97,754933471,no,0
Grandson,46,97,286871649,no,0
Queens of the Stone Age,9,97,748078366,no,0
Seventh Wonder,17,97,621294854,no,0
Wage War,25,97,306908749,no,0
And_Oceans,18,96,430503675,no,0
Good Riddance,7,96,337472782,no,0
Igorrr,20,96,352629149,no,0
Paramore,15,96,347239900,no,0
twenty one pilots,10,96,597278383,no,0
In This Moment,9,95,676905450,no,0
Poison,9,95,661534376,no,0
Captain Beefheart & His Magic Band,3,94,295264532,no,0
Caravan Palace,18,94,425056491,no,0
Cro-Mags,10,93,311040243,no,0
Mick Gordon,3,93,411613780,yes,76
Rammstein,10,93,579237659,yes,62
The Mars Volta,8,92,613310793,no,0
City Morgue,8,91,243084205,no,0
Lorde,23,91,322513872,no,0
Coal Chamber,6,90,428269284,no,0
Sylosis,15,90,399700964,no,0
Tenacious D,14,90,338633651,no,0
Víkingur Ólafsson,9,90,587890085,no,0
"Big Brother & The Holding Company, Janis Joplin",6,89,380155805,no,0
Freedy Johnston,8,89,681804168,no,0
Ill Niño,7,89,638556309,no,0
Immortal,11,89,461891593,no,0
The Crystal Method,11,89,697443214,no,0
Camper Van Beethoven,5,88,359319956,no,0
Electric Six,7,88,371389213,no,0
Jesus Piece,50,88,238087798,no,0
Kittie,10,88,443308415,yes,104
Michiru Yamane,4,87,271296638,no,0
Rage Against the Machine,7,87,373818991,no,0
The Kills,8,87,466847801,no,0
Tiffany Day,37,87,222583955,no,0
Kobaryo,35,86,291434402,no,0
Pere Ubu,10,86,555959938,no,0
Social Distortion,8,86,413206295,no,0
