artist,albums,tracks,bytes,in_active,active_tracks
7xvn,9,9,15059023,no,0
Alphaxone & Xerxes The Dark,1,9,56590260,no,0
"Alphaxone, protoU & Onasander",1,9,120278384,no,0
Amebix,1,9,41283427,no,0
Antre,1,9,39460044,no,0
Aristarchos,2,9,68085271,no,0
Asagraum,1,9,43384080,no,0
Australasia,1,9,36048845,no,0
Avicii,9,9,29816334,no,0
BELTEZ,1,9,60480798,no,0
BENEE,2,9,27602270,no,0
Basstripper,7,9,31127259,no,0
Bay B Kane,3,9,38465560,no,0
Birch,7,9,31229187,no,0
Bitwvlf,8,9,25430796,no,0
Black Cobra,1,9,33644971,no,0
Black Heat,1,9,47128509,no,0
"Boozoo Bajou, MODALiST",8,9,23903688,no,0
Boys Noize,1,9,37652467,yes,9
Bruno Mars,6,9,29640381,yes,3
CASHFORGOLD,4,9,31881057,no,0
Captain Panic,1,9,36435959,no,0
Captain Panic!,2,9,40978186,no,0
Cara Neir,2,9,37872993,no,0
Chuck Berry,6,9,16579357,no,0
Circle Of Dust,6,9,42121265,no,0
Circus,1,9,36968091,no,0
Con Funk Shun,4,9,37728996,no,0
Dagames,9,9,34260861,no,0
Deus Ex Lumina,8,9,30500500,no,0
Dispossessed,1,9,27913528,no,0
"Edvard Grieg; Arve Tellefsen, Håvard Gimse",1,9,125061586,no,0
Ellie Goulding,8,9,29780822,no,0
Elliott Smith,5,9,26992811,no,0
"End It, Audiotree",1,9,10519307,no,0
Eric Satie,1,9,27223821,no,0
Falling In Reverse,4,9,29167100,no,0
False,2,9,94107005,no,0
"Felix Mendelssohn; City of Birmingham Symphony Orchestra, Edward Gardner",1,9,133922867,no,0
Felix Mendelssohn; Dimitri Mitropoulos,1,9,127702056,no,0
Flesia,1,9,31671313,no,0
Fraunhofer Diffraction,4,9,40915719,no,0
Fynn McCool,2,9,43071468,no,0
GVILLOTINE,1,9,23173557,no,0
Ganja White Night,6,9,47237766,no,0
George Frideric Handel,1,9,117399816,no,0
Gevurah,2,9,57509769,no,0
Glyph,1,9,34602640,no,0
Gravpel,2,9,34157866,no,0
Guns N' Roses,6,9,51733060,no,0
"Harold Faltermeyer, Lady Gaga, Hans Zimmer",1,9,34167760,no,0
Harry Hosono & The Yellow Magic Band,1,9,40653003,no,0
Hereticae,1,9,41984454,no,0
I Califfi,1,9,40634689,no,0
Inherits The Void,1,9,40324095,no,0
Ius Talionis,2,9,53133037,no,0
"Janis Joplin, Jorma Kaukonen",2,9,32607473,no,0
Jazmin Bean,4,9,27556534,no,0
Jessie Reyez,2,9,27784426,no,0
Jimi Hendrix & Curtis Knight,1,9,62352642,no,0
Johnny Cash and The Tennessee Three,1,9,44046052,no,0
Joseph,1,9,32368822,no,0
Justin Bieber,5,9,30361376,no,0
Lemon Demon,6,9,33713696,no,0
Losfeld,1,9,30125102,no,0
Low Hum,1,9,38549967,no,0
MV & EE with The Bummer Road,1,9,48520526,no,0
Magic Lantern,2,9,77636330,no,0
Mantra,1,9,26635640,no,0
Mare Cognitum,2,9,99104840,no,0
Max Romeo & The Upsetters,1,9,33087282,no,0
Mendoza,1,9,36391013,no,0
Michael Nyman; The Zoo Duet,1,9,122212039,no,0
Miroist,2,9,47027371,no,0
Moon Duo,1,9,45754831,no,0
Moth,2,9,35375520,no,0
Mother Gong & Daevid Allen,1,9,58166606,no,0
MØL,2,9,44122352,no,0
Naxen,4,9,80044966,no,0
Nicki Minaj,7,9,29109518,no,0
Nidstang,1,9,22391127,no,0
Nightmarer,1,9,29801041,no,0
Nina Simone,1,9,33505835,no,0
Nuclear Winter,1,9,33959913,no,0
Oblivians,1,9,22446859,no,0
PATRIARKH,1,9,46188205,no,0
Pesky Gee!,1,9,41514062,no,0
Phil Manzanera,1,9,44678379,no,0
Polarization,1,9,41141681,no,0
Potty Mouth,5,9,25868249,no,0
Powderpaint,4,9,35368759,no,0
Punk Goes,6,9,30793754,no,0
Robes of Snow,1,9,55720166,no,0
Ronnie Spector,1,9,29671408,no,0
SIX,1,9,39682286,no,0
SVRM,2,9,30762233,no,0
Saidan,1,9,34482765,no,0
Sibewest,9,9,32135456,no,0
Skatune Network,1,9,23054596,no,0
Skillet,5,9,28658709,no,0
Slutever,3,9,24354233,no,0
Social Climbers,1,9,38660262,no,0
Sonic Youth,5,9,39358271,no,0
Stollgan,9,9,18781025,no,0
"Subject 31, Aweminus, Creation",1,9,39200847,no,0
Sunken,2,9,76976217,no,0
Svarta Havet,1,9,29073077,no,0
TR+ST,1,9,36268641,no,0
Team Teamwork,1,9,35433734,no,0
Teenage Boatpeople,1,9,37575173,no,0
Television,2,9,61794538,no,0
Ten Years After,2,9,47083982,no,0
The Bummer Road,1,9,159642252,no,0
The Conqueroo,1,9,44433658,no,0
The Last Dance,4,9,38957988,no,0
The Neighbourhood,6,9,33206397,no,0
The Shade of Crow,2,9,30860878,no,0
The Suicide Machines & Coquettish,1,9,27139697,no,0
Uriah Heep,1,9,44169307,no,0
"Vanguard Sound, Haloweak, kors k",1,9,35580264,no,0
Veruca Salt,2,9,27031794,no,0
WEFUNK on CKUT 90.3FM Montreal,1,9,1058167045,no,0
Waldgeflüster,2,9,65182699,no,0
Wooded Memory,2,9,61506149,no,0
Yakui The Maid,1,9,33707822,no,0
Zheani,7,9,19669147,no,0
banzai,8,9,30767770,no,0
flowerbomb,1,9,43163576,no,0
set,6,9,29903094,no,0
thquib,7,9,24289069,no,0
Älgarnas trädgård,1,9,57711139,no,0
ØRGIE,7,9,54621753,no,0
△Sco△,7,9,28449703,no,0
1914,1,8,50153144,no,0
AST,1,8,34067293,no,0
Aaliyah,2,8,33695750,no,0
Aerosmith,7,8,33087268,no,0
African Head Charge vs. Professor Stretch,2,8,52753712,no,0
"Alghol, Panzerwar",1,8,29020232,no,0
Alphaxone & Onasander,1,8,112869990,no,0
Amiri Baraka,1,8,48220481,no,0
Ancient Wisdom,2,8,53115783,no,0
Android Lust,2,8,34066342,no,0
Arcana 13,1,8,101185532,no,0
Arthur Brown’s Kingdom Come,1,8,49891704,no,0
Arthur Gregory Band,1,8,28910851,no,0
Ashbringer,1,8,63730874,no,0
Ashen Throne,3,8,17499383,no,0
Aurra,5,8,56810251,no,0
BABYMETAL,7,8,29391570,no,0
Batushka,1,8,38575152,no,0
Beach Bunny,6,8,23523352,no,0
"Beethoven; NDR-Sinfonieorchester, Günter Wand",1,8,134748009,no,0
Beyoncé,7,8,31117266,yes,105
Bladee & Ecco2K,1,8,30287953,no,0
Blanck Mass,1,8,50136816,no,0
Blues Control,1,8,36336001,no,0
Book of Black Earth,1,8,34222166,no,0
Boy Epic,8,8,26415346,no,0
Buckethead _ Travis Dickerson _ Bryan “Brain” Mantia,2,8,72443956,no,0
Champizen,4,8,37799267,no,0
Chrome featuring Damon Edge,1,8,36093319,no,0
Cigarettes After Sex,6,8,32335531,no,0
"City Morgue, ZillaKami, SOSMULA",3,8,14727902,no,0
Collage,1,8,55694829,no,0
Commix,4,8,40283774,no,0
Cruzeiro,1,8,49980191,no,0
DJ Format,3,8,26310245,no,0
DJ Snake,3,8,27910095,no,0
Dale Cooper Quartet,4,8,71855565,no,0
Dark Half,2,8,24921470,no,0
"Darude, Ashley Wallbridge",2,8,33165970,no,0
"Darude, Gid Sedgwick",4,8,34315742,no,0
David Crosby,1,8,39660660,no,0
Dawn of Ouroboros,1,8,48937977,no,0
Delta Pure Waves,8,8,9764903,no,0
Dennis Brown & Gregory Isaacs,1,8,117013224,no,0
Denzel Curry X Kenny Beats,1,8,36693591,no,0
Duran Duran,8,8,33732509,no,0
Dødsdrift,1,8,30254241,no,0
EXCOMMUNICATIO,1,8,41346386,no,0
Eagles,6,8,40216223,no,0
Excuse 17,1,8,17613611,no,0
Faust,1,8,52378825,no,0
Felix Mendelssohn & Academy of St Martin in the Fields Chamber Ensemble,1,8,124172605,no,0
"Felix Mendelssohn; Emanuel Ax, Yo‐Yo Ma, Itzhak Perlman",1,8,122548683,no,0
Felix Mendelssohn; Eroica Quartet,1,8,119870893,no,0
Felix Mendelssohn; Trio Wanderer,1,8,106820241,no,0
Fen,1,8,53684742,no,0
Florence + the Machine,3,8,28815853,no,0
Freddie Dredd,4,8,14208574,no,0
Galantis,6,8,24912127,no,0
Gaylord,1,8,20494981,no,0
Glynn Martin,1,8,23957413,no,0
God Seed,1,8,31302102,no,0
Goldie,4,8,57213640,no,0
HEALTH,5,8,24076069,no,0
"Heifetz, Piatigorsky",1,8,115397510,no,0
Hellripper,1,8,24611125,no,0
Höstblod,2,8,60366928,no,0
I DONT KNOW HOW BUT THEY FOUND ME,7,8,23210032,no,0
Imperial Triumphant,1,8,51863325,no,0
Jenghiz Khan,1,8,39227245,no,0
"Johannes Brahms; Maria João Pires, Augustin Dumay, 王健",1,8,133092499,no,0
John Coltrane,2,8,85080700,no,0
Johnny Based,1,8,21092294,no,0
Joy Division,6,8,28066555,no,0
KVØID,1,8,29900634,no,0
Khan,1,8,62989058,no,0
"Killer Mike, André 3000",1,8,25004325,no,0
Kitten Forever,1,8,12404075,no,0
Klank,1,8,31281707,no,0
Lil Darkie,8,8,32637023,no,0
Lilith's Demise,5,8,22475184,no,0
LoveLeo,2,8,14299197,no,0
"Ludwig van Beethoven; Pittsburgh Symphony Orchestra, Manfred Honeck",1,8,137856645,no,0
MV & EE,1,8,42458893,no,0
Matching Mole,1,8,46622111,no,0
Melvins + Lustmord,1,8,104637770,no,0
"Mendelssohn; Berliner Philharmoniker, Herbert von Karajan",1,8,123539051,no,0
Mendelssohn; Hausmusik London,1,8,124886551,no,0
Metaphysical Animation,1,8,60862412,no,0
Miles Davis,1,8,112925520,no,0
Miley Cyrus,6,8,26161528,no,0
Minimum Vital,1,8,48921570,no,0
"Mizmor, Thou",1,8,68874413,no,0
Mystagogue,1,8,25721968,no,0
Nechochwen,1,8,39203648,no,0
Night Club,2,8,24119666,no,0
One of nine,1,8,32475624,no,0
Operation Volkstod,1,8,36065713,no,0
Ossaert,2,8,69694995,no,0
Oubliette,1,8,46231520,no,0
"PH.893, Prof",1,8,43299285,no,0
PRXJEK,8,8,14281337,no,0
Particle,5,8,29257820,no,0
Paul Marcano and LightDreams,1,8,56240746,no,0
"Perturbator, Johannes Persson, Final Light",2,8,61824852,no,0
Philip Glass; Amy Dickson,1,8,120481868,no,0
Piirpauke,1,8,39920517,no,0
Pixel Grip,4,8,32301348,no,0
Plastician,3,8,31805959,no,0
Plini,3,8,30721030,no,0
Quintron + Miss Pussycat,1,8,33558702,no,0
Rail Band,1,8,37968602,no,0
Riot Grrrl Sessions,1,8,21191435,no,0
Robedoor,2,8,45987346,no,0
Royal Blood,2,8,24806251,no,0
"Royal Concertgebouw Orchestra, Colin Davis",1,8,84369186,no,0
SWARM,6,8,32549561,yes,1
Sacred Son,2,8,53889501,no,0
"Sailor Team (MACROSS 82–99, Night Tempo, ナニダトnanidato & Desired)",1,8,25561553,no,0
Shakira,7,8,24044158,no,0
She_Her_hers,1,8,26873738,no,0
Shy FX,5,8,22694276,no,0
Sirius,1,8,44172428,no,0
Sixth Comm,1,8,38944481,no,0
Skvm,3,8,18682555,no,0
Sleeping With Sirens,6,8,26312328,no,0
Tarsius tarsier,1,8,15717323,no,0
Team Dresch,2,8,18271411,no,0
Teddy Killerz,8,8,31372701,no,0
Temple Of Gorgon,1,8,36221210,no,0
The Clash,6,8,24638659,no,0
The Healing Buddha,8,8,9366229,no,0
The Menstrual Cramps,1,8,20201487,no,0
The Namaste,8,8,10194293,no,0
The Pretty Reckless,6,8,29506918,no,0
The Skullduggers,1,8,19329167,no,0
The Wombats,6,8,27773923,no,0
Theophonos,1,8,27885168,no,0
This Radiant Boy,1,8,32900301,no,0
Thomas Sanders,8,8,25352150,no,0
Tomas Gye,1,8,44195206,no,0
"UNKLE, The Heritage Orchestra",1,8,42815122,no,0
Ungfell,1,8,35967031,no,0
Unreqvited,5,8,64759768,no,0
Unyielding Love,1,8,18198522,no,0
VILE FORM,2,8,29444406,no,0
Vince Guaraldi,1,8,31500135,no,0
Violent Vickie,3,8,33195305,no,0
Vladimir Cauchemar,4,8,17798600,no,0
Voidthrone,2,8,54313661,no,0
Voland,2,8,38313788,no,0
Waeys,6,8,28354840,no,0
Waterparks,6,8,22088541,no,0
Widek,3,8,28683104,no,0
Winter Lantern,1,8,27546614,no,0
Wishfield,1,8,30345484,no,0
Witchcult,1,8,31767181,no,0
Witchden,1,8,36131639,no,0
X-Ray Spex,2,8,19567821,no,0
"ZEDD, Alessia Cara",3,8,44549364,no,0
ZZ Top,8,8,31910598,no,0
fallingwithscissors,1,8,19500585,yes,7
filejacker,2,8,33400241,no,0
gomk,1,8,104309227,no,0
wumpscut,1,8,26432203,no,0
БАТЮШКА,1,8,39464240,no,0
AJR,5,7,22265314,no,0
Abigail Williams,1,7,52071855,no,0
Adventure Time,4,7,11392104,no,0
Alexander Mantis,1,7,22957489,no,0
Alkaline Trio _ Hot Water Music,1,7,24066017,no,0
Allfather,1,7,39110995,no,0
Anagnorisis,1,7,47870755,no,0
Ancient Emblem,1,7,39215809,no,0
And So I Watch You from Afar,2,7,36234194,no,0
Anicon,1,7,47477541,no,0
Arthur Brown's Kingdom Come,1,7,48131644,no,0
Avenged Sevenfold,4,7,38568907,no,0
BVDLVD,3,7,16367690,no,0
Bear Ghost,4,7,24514698,no,0
Beenkerver,1,7,37150112,no,0
"Beethoven; Daniel Barenboim, Gidon Kremer, Anne‐Sophie Mutter, Maurizio Pollini",1,7,146587524,no,0
Black Chamber,2,7,32202935,no,0
Black Comedy,1,7,29806386,no,0
Black Prism,1,7,76533785,no,0
Black Sabbath featuring Tony Iommi,1,7,51610937,no,0
Blutengel,4,7,29958298,no,0
"Bonobo, Kaozed",1,7,21737734,no,0
Bora Rokovic - Peter Trunk - Tony Inzalaco,1,7,40472986,no,0
Boris,2,7,42621509,no,0
Béla Bartók,1,7,58763919,no,0
Calvin Harris,3,7,26552532,no,0
Captain Ahab,1,7,26327224,no,0
Cartoon,1,7,43613516,no,0
"Charli xcx, Christine and the Queens",5,7,26077580,no,0
Charmpit,2,7,14760380,no,0
Chevelle,6,7,27118687,no,0
Chinchilla,2,7,28593200,no,0
Chris Pureka,1,7,28618014,no,0
Christina Perri,4,7,25339169,no,0
Church of the Sea,1,7,29572607,no,0
Clairo,5,7,18536721,no,0
Clams Casino,5,7,24411069,no,0
Club Nouveau,5,7,31573910,no,0
Comus,1,7,57034337,no,0
Congo Natty,1,7,27848778,no,0
DISSECTION,2,7,34557764,no,0
Darci,7,7,20874768,no,0
Dax Riggs,1,7,21420931,no,0
Dazey and the Scouts,1,7,23676014,no,0
Dead Work,1,7,57009029,no,0
Decline Of The I,1,7,44817879,no,0
Deorro,7,7,24537394,no,0
Doc Scott,3,7,39056666,no,0
Donnie Menace,3,7,23536905,no,0
Eastern High,2,7,30853780,no,0
Ekstrak,1,7,26834867,no,0
Emily's Sassy Lime,2,7,13860025,no,0
Excision,5,7,25881141,yes,46
FRIISK,1,7,44525323,no,0
Fabio & Grooverider,2,7,32702168,no,0
False Heads,1,7,22275324,no,0
"Felix Mendelssohn, Max Bruch; Janine Jansen, Riccardo Chailly, Gewandhausorchester Leipzig",1,7,118838138,no,0
"Felix Mendelssohn, Max Bruch; Kodály Quartet, Auer String Quartet",1,7,112223366,no,0
Floating Points,1,7,49335976,no,0
Flyleaf,3,7,19743877,no,0
Fragile,1,7,45509097,no,0
Frederic,1,7,29050675,no,0
FreexMan,1,7,19537812,no,0
"Frost, Pisse & Elend",2,7,26185187,no,0
Funeral Art,1,7,26252072,no,0
GEN.KLOUD,6,7,24158694,no,0
Ghostface Playa,4,7,13357593,no,0
Gizmo,7,7,13866010,no,0
Goat Coffin,1,7,23791541,no,0
God is an Astronaut,4,7,39355175,no,0
Gorejit,7,7,11618327,no,0
Grumpster,2,7,22280786,no,0
